,owner,total
0,\x227ad43301f81ffdbc3918eae6e5e2f50f8504a1,12
1,\xb5429cc89786e51eb96db97cc18796dfd425bca4,12
2,\xcf3bc13c0f19b9549364cc5f4b7ea807b737c062,18
3,\x617b282fa97a7351faa3b3bcb9358ebc8855891c,23
4,\xa022f02d2f76159331bd5ddee7c30c256188096d,38
5,\x3e65ea82fb012661dfea9674e4d8c9a362bc2307,20
6,\xb05554ee4eec9c0ddb6ae4c8cc8c99e65e154b93,16
7,\x8f2dc6afb0771e9eecc842d71f7599f8b2d33183,54
8,\x3e7c65e84805655fffb9df08dabc7890614bb2ea,17
9,\x5cf2ed6a095fd9d5704b2036714d36d87781cd3d,14
10,\x3871abc66387ffbc94465a64b770e24651915339,20
11,\xa0be33c941e87d3c2abab8c890e71f0f31bae759,14
12,\x41e8bf3d9288eddacc3206f9ab21b61a1c59df31,31
13,\x6e8805ccebeef1e1a177572bccfb3bc4938bc54d,11
14,\xdf16297ca6cdf823c666064096ed14c2c9a731cf,13
15,\x0964fefe37da773eb77e1c07df5724b87986ea90,13
16,\x992b5e211a67f1862bce2386051a3abe71183ca6,100
17,\x18fe1e86eba9ad69f7b3f21b224ed3f3cc07c0fc,12
18,\xab62f4fb16318558b49a2b4dad45ed237438b79d,100
19,\x10504ff2b048527e8d949a944cc22b25dec2d7c5,19
20,\x57fe6b99dcad51556ec269c3e7aac10beb5ee812,11
21,\x15726828e18ea182fd7210f61c142c21ef319346,13
22,\x29cc2f1e034235b2602dab4b3198759de027c66f,84
23,\xdd0e3b2056eb98b9ee1cc3ad4954c8a4c24c1b05,11
24,\xef64c911fe7d6a7d94d475e55bfb27484ee786d9,124
25,\xa14f89d51f39c4214fadf331957e703a8e651d73,19
26,\xed3be81dbac9cc08b3c7037b6ba055c8d4e8c84e,20
27,\xf0a650f3e7041860ac229a5b34845d6881b82fa7,11
28,\x6666438fa862d28c992610a87dcf65a54d60a001,55
29,\x9109790437ce94ebce5d9aff8b83d7491bd7aa51,36
30,\x6c36a2265dbffd803e576a2faa2b37a3222e1672,31
31,\x56451156e59a92217a90ee3f4b7d3fe9044c385a,13
32,\x5fad4575f126a40ecf2752db2224f9b56032e571,26
33,\x552a22eea7e740bb25366eaaa2ae465ebf9cf8c2,25
34,\x772f61bb54dbd1c9cde9f8ba11b02268235a2c25,15
35,\xbe8fe12b9eb1ca2a593e6c070c71c294b6fe9f00,11
36,\x108713b5f55dba3fbfcb3bb97c87da8259f00235,98
37,\x468436bc55a88d1721617cac6448b56dae1ddb92,33
38,\x2368296121500c65aa76c173544e026dca77b019,20
39,\xf25a837f97d6082300deeebe9ec0433b6af150ba,25
40,\x5aa45180632a054f6f5fa6dd1db31cab03f2f1c2,34
41,\x2cb1a3105cf684c023d19ff696b619fae78959ab,16
42,\x17b21eb96fb4ca29c0e3d1b9be187e27198917b5,11
43,\x1189e4b95e64dbde9457c9f2e0c4914594254258,100
44,\x24668bf7cf97145a7046eca265cbe375c27e2e8e,12
45,\x28dc9fb2ee0389c76570cbbeeb9e082a1819dca5,20
46,\x871057c7d2d0ee07fdcfb1d18d1c33cd9116105d,25
47,\xd2dcb015d646af1e371d4b0c7de5857ed0753e84,18
48,\x58718c718297d47ba0acf15c5be54be95850a094,15
49,\x1df7717323ba37c856773af5ec70af5c100da7dc,17
50,\x2b3a904805773ad0fb3c4e675170dba123eccc8a,16
51,\xc7b28c1ad12f4d353699a07d740f5b0b6ccb3ab1,16
52,\x9a9f99fc28b628f185baf6ed894c0951dbb4e98c,18
53,\x8704abefd481486eeb77ea2403c0a319c7143443,12
54,\x534c8bc9781a8072b524b853147a69bc6bf2b552,141
55,\xf0a9d907b48c0f554d2854f02a322698e678f9f0,40
56,\xe6e4d8d307c42c9cd73220c185c7d3abbce421a2,15
57,\xd538e4b0013b1fe18408af6e6a7e6022b4038203,12
58,\xa12ee872f33a2644afbe931d291b18f91ee768f7,108
59,\xe7ec8af1e92b6e12a77308609a8250281d016335,24
60,\x01c1b02945dcd29b5fb40d11c54e743f74942013,80
61,\x229c47b4c87a927166e57e7cc2464ee96d4aa883,11
62,\x543854c5fc72e68e87151ee9b165defead873f26,75
63,\x7c709e2c1e9f58f104dbf65aac9d0a6fc9773118,24
64,\xf7b949dd4284039ce8de2ce18ea034c5f8b42533,21
65,\x8594d7a13bd4da9bc6bab2a2383fefbe039499ee,122
66,\xbc8729c1a7da5b92814187056877e1d87910cb00,13
67,\x1c29dcaa0cad96ca3f60d414c7e2e47c99cd7bdd,31
68,\xf30c6a115f2576db64ef365beb0685de3056b269,13
69,\x00f791f9fed6fe53a3c6794d4dd12a966ade331e,31
70,\x4fd907a35d36dcae52af7317068794791f8e9225,17
71,\xeff065fc91c597a8a8e651a61dd6a55a074d51ed,17
72,\x2e19050f71ca02d20478159b9fc436e324ad4501,35
73,\xb5ce30c1d55c918ab57b1f63d05885326b121057,41
74,\x3aa485a8e745fc2bd68abbdb3cf05b58e338d7fe,23
75,\x2b13eb607ff1596985048a5172dc3d3e9ed6f004,20
76,\xfdbe2e064fdf520539a8f03c57289dd51544f129,20
77,\xbf632dc77149239b33a7d3545827e3e539042935,16
78,\x47306f9e166275ee3a8403ef59b3caced308457a,22
79,\x6666dae2c6350bf8114c31e44c370328cf9e7b9b,47
80,\xd8e847f8569c326698113e88a2cb40524269b254,12
81,\x2a977ade3b45cb814c78f778401dc653cf7c275f,11
82,\x2965c647091c0044c8c9839521e8402a9e18892c,50
83,\xec6286fb381761a4637305926a7ac215a2a50be8,11
84,\x87d7f82b73df9a2115b1fe8d6b966e4912375af7,25
85,\x9354f77148858b3935f2a860accec179bbff1767,12
86,\xb36c7e6e58e38ad608748e6a00bda29dbeaec96a,14
87,\xe78c792494b15035d8a5f554b84aa79de1d7486f,12
88,\xa29b704a0fc0e61dfb4f3ffeb051d0831fa5643a,102
89,\x4cf0591008c76a15761cb566f70537e1e967017b,21
90,\x2fc9cd0513fb6fb5d59ffbe6de747c8699067f65,13
91,\x1bad375bf12ab60c297274fd7c41555f61486ba3,12
92,\x00d018a4235414238e6a220a45210cd02f393e65,20
93,\xc3bb22dfffba684eba448e9c5c632d4514bf0b0e,20
94,\x4ad2422671e714487a4fb4576c24b5cfa7b8b566,19
95,\x841f298d7fc8d87df60131e4c665777ba17bc6c3,67
96,\xa1e3177a9b8f66947ccf5a3c2351c99e2145bf86,13
97,\x5970c01a20a6a5daffcb6c0c85d9473d7bd93c77,11
98,\xf8833fb265d2c803a16ec14c27bbd4fa0bc87b93,22
99,\x0f93a5955fdeebce19b07a5f6c7c7e5cca67dd92,30
100,\x2c72439a6d8341bd375fc8440ef762611714d9f2,11
101,\xa52899a1a8195c3eef30e0b08658705250e154ae,129
102,\x94cfa68a89d416531461b5d0c256efd293168504,11
103,\xc336266861e9f353e1700e2ee519906a25a9bfff,20
104,\x1b1ad8f7653bd80009b36f658151076f4639f6fc,19
105,\x1ab14911a1f736eb37c6ac2790ec325d4eab1f8e,22
106,\xb9c9cd73fc94861725173eb768b2f2ca0ee86dee,12
107,\x7ddba01cb6d0efb9183a2a95728c4573bb5ee196,13
108,\x35fa638779e4fb34473c811bf0c7d5cdd2ceb5b2,11
109,\x5f96a00cbc7551d8c4b14239212f8c08f0cfd00e,18
110,\x9b81c598e303499df75991075002c60472d4b6b5,40
111,\xc2a56c99a890e4c50c0ae22a077f409aab13420e,15
112,\x5df954729806f91bc1e72ae87142b639e9b1f7f2,31
113,\xb9c0ca7f74941578b122e1ac43b3aa3c51983213,25
114,\x4b982cfa30a7708989af7ba55c91584301a5e816,33
115,\xfcac36e60212b8541e3d88b062ff285561c9d31c,12
116,\x47aed18cb0ef1903f29553ee8caed25413750b94,11
117,\x43098f3c62b4f5e6d4292acbc51bb727c9c27894,18
118,\x6efd6c35854e89b0f479e7cbdff8b7c15e4ac0ba,41
119,\x9dabafdffb061837457e2cc8f0204e9ae113e87d,20
120,\x563415679588e508c0c8f0a729c9bf898406e9b5,21
121,\x76e6e1aef042f984dfb279a75f11adb3995b7e93,13
